structure_name	location
FBL	nucleoli (DFC)
NPM1	nucleoli (GC)
SON	nuclear speckles
SMC1A	cohesins
HIST1H2BJ	histones
LMNB1	nuclear envelope
NUP153	nuclear pores
SEC61B	ER (Sec61 beta)
ATP2A2	ER (SERCA2)
SLC25A17	peroxisomes
RAB5A	endosomes
TOMM20	mitochondria
LAMP1	lysosomes
ST6GAL1	Golgi
TUBA1B	microtubules
CETN2	centrioles
GJA1	gap junctions
TJP1	tight junctions
DSP	desmosomes
CTNNB1	adherens junctions
AAVS1	plasma membrane
ACTB	actin filaments
ACTN1	actin bundles
MYH10	actomyosin bundles
PXN	matrix adhesions
